Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z,Pitch,Roll,Yaw
0.006601,-0.001502,-0.995119,-0.001765,-0.005758,-0.002429,0.045877,0.301334,0.292432,0.002953,0.009651,-1.416136
0.005508,-0.001737,-0.994119,-0.002844,-0.000060,0.004527,0.045456,0.300741,0.292247,0.002928,0.009639,-1.416078
0.005585,-0.001893,-0.994527,-0.003478,0.002984,0.001266,0.045507,0.301252,0.292167,0.002913,0.009666,-1.416044
0.006662,-0.002847,-0.995654,0.002616,-0.003311,-0.002000,0.045177,0.301922,0.292660,0.002945,0.009615,-1.416077
0.006176,-0.002239,-0.995816,0.003725,0.001811,-0.001055,0.045223,0.302015,0.293161,0.002951,0.009634,-1.416076
0.005695,-0.001987,-0.995893,0.001052,0.008296,-0.004831,0.044990,0.301742,0.292878,0.002968,0.009720,-1.416129
0.005891,-0.002294,-0.995631,-0.000798,0.001492,-0.001223,0.045543,0.302398,0.292371,0.002964,0.009705,-1.416138
0.006467,-0.002730,-0.994787,-0.003633,0.002762,0.000956,0.045884,0.302311,0.292768,0.002914,0.009744,-1.416111
0.006036,-0.003030,-0.994238,-0.000604,-0.000796,0.003670,0.045891,0.301481,0.292379,0.002921,0.009728,-1.416061
0.005276,-0.002787,-0.995111,0.000958,0.001718,-0.001634,0.045726,0.301800,0.291825,0.002929,0.009726,-1.416065
0.005449,-0.003232,-0.996842,0.003736,0.003387,0.001476,0.045562,0.302161,0.292626,0.003002,0.009723,-1.416060
0.005054,-0.003369,-0.997047,0.002193,0.001342,0.003457,0.045674,0.301980,0.293506,0.003000,0.009699,-1.416051
0.005246,-0.003334,-0.996650,-0.000457,0.002486,0.005762,0.045698,0.301506,0.292498,0.002993,0.009689,-1.415978
0.005755,-0.002863,-0.995984,0.001241,-0.000985,0.002486,0.045303,0.301352,0.292515,0.003004,0.009660,-1.415969
0.005638,-0.001024,-0.995345,0.005300,-0.000018,-0.003751,0.045424,0.301634,0.292875,0.003053,0.009689,-1.416038
0.005011,-0.002078,-0.995562,0.002438,-0.000391,0.001910,0.045698,0.301851,0.292568,0.003052,0.009672,-1.415997
0.005692,-0.003116,-0.995882,-0.001703,-0.001749,0.000411,0.045239,0.301944,0.292151,0.003033,0.009636,-1.416003
0.006640,-0.004019,-0.997262,-0.002931,0.006269,0.003325,0.045140,0.302073,0.292709,0.003028,0.009691,-1.415991
0.006915,-0.002933,-0.996761,-0.001887,0.001484,-0.000547,0.045635,0.301875,0.292522,0.003022,0.009670,-1.415972
0.006012,-0.002516,-0.996154,-0.004110,-0.002643,-0.003590,0.045424,0.301759,0.292709,0.002965,0.009635,-1.416013
0.006852,-0.003313,-0.996414,-0.002101,0.002883,0.001514,0.045258,0.301796,0.292556,0.002928,0.009677,-1.415989
0.005670,-0.002530,-0.997162,-0.000788,-0.001341,0.003890,0.045174,0.302104,0.292664,0.002931,0.009640,-1.415933
0.005522,-0.002185,-0.996379,-0.002404,-0.002305,0.001709,0.045403,0.301982,0.292409,0.002908,0.009600,-1.415928
0.006238,-0.002530,-0.995928,-0.001457,0.001044,0.001857,0.045406,0.301662,0.292041,0.002891,0.009594,-1.415902
0.005438,-0.003499,-0.996030,-0.002781,0.002119,-0.001452,0.045453,0.301719,0.292841,0.002841,0.009602,-1.415943
0.005292,-0.003910,-0.997463,-0.000365,0.000021,-0.002536,0.045856,0.301410,0.293060,0.002854,0.009578,-1.415945
0.005993,-0.003087,-0.997032,0.001355,0.003601,-0.000324,0.045620,0.301265,0.292702,0.002872,0.009591,-1.415954
0.006113,-0.001696,-0.995788,0.004526,0.001033,-0.001965,0.045272,0.301614,0.293492,0.002936,0.009568,-1.415974
0.005187,-0.002168,-0.996161,0.000851,0.001123,0.001941,0.045792,0.301541,0.293670,0.002926,0.009555,-1.415928
0.006258,-0.001866,-0.995412,0.000315,0.002331,0.002448,0.045637,0.301642,0.293109,0.002921,0.009607,-1.415908
0.006489,-0.002873,-0.995316,-0.000710,-0.002829,-0.002559,0.045671,0.301912,0.293189,0.002914,0.009542,-1.415941
0.005965,-0.002565,-0.995262,0.002678,0.000119,-0.007701,0.045349,0.301885,0.292553,0.002966,0.009536,-1.416016
0.005411,-0.003328,-0.995876,0.003207,-0.000637,-0.004391,0.045169,0.301652,0.292769,0.002987,0.009498,-1.416033
0.005588,-0.002384,-0.996206,0.005038,0.004729,-0.004810,0.045776,0.301530,0.293031,0.003023,0.009562,-1.416109
0.004417,-0.002578,-0.995712,0.000173,0.008391,0.003068,0.045741,0.301460,0.293592,0.002997,0.009614,-1.416056
0.005406,-0.002592,-0.995409,0.001424,0.003549,0.006555,0.045123,0.301581,0.293779,0.003040,0.009626,-1.416011
0.005282,-0.002273,-0.995565,0.000919,0.007928,-0.001786,0.044919,0.301937,0.294520,0.003060,0.009688,-1.416040
0.005151,-0.002463,-0.996289,0.002808,0.006552,0.001697,0.045498,0.302223,0.294003,0.003091,0.009706,-1.416020
0.005697,-0.003622,-0.996818,-0.002213,0.006042,0.000925,0.045570,0.301953,0.293465,0.003066,0.009791,-1.416001
0.003843,-0.003524,-0.996627,-0.003683,0.004599,-0.000769,0.045420,0.301720,0.292726,0.003026,0.009797,-1.416050
0.005510,-0.003599,-0.995696,0.003418,-0.000326,-0.004131,0.045127,0.302082,0.292754,0.003073,0.009730,-1.416080
0.006463,-0.002422,-0.994830,0.001392,0.002313,-0.007008,0.045226,0.301968,0.292603,0.003071,0.009778,-1.416136
0.006431,-0.002682,-0.995506,0.000379,-0.002167,-0.004565,0.045216,0.301153,0.292781,0.003065,0.009733,-1.416173
0.005368,-0.002538,-0.994845,0.002958,-0.001475,0.000714,0.045290,0.301604,0.292645,0.003105,0.009704,-1.416175
0.005287,-0.002209,-0.996441,0.005722,0.002698,0.001923,0.045663,0.301982,0.292448,0.003166,0.009726,-1.416144
0.005614,-0.002872,-0.997821,0.002034,0.000093,-0.003285,0.045554,0.301708,0.292710,0.003174,0.009694,-1.416207
0.006053,-0.001857,-0.994044,0.001308,-0.001177,-0.000608,0.045278,0.301891,0.292385,0.003177,0.009680,-1.416191
0.005314,-0.002562,-0.993994,-0.002253,0.001442,-0.004498,0.045494,0.301676,0.292433,0.003131,0.009659,-1.416248
0.005695,-0.003703,-0.995363,-0.000688,-0.000357,-0.003595,0.045502,0.301839,0.292494,0.003118,0.009657,-1.416241
0.005923,-0.002671,-0.995931,-0.002054,0.000381,-0.001075,0.045670,0.301778,0.292789,0.003087,0.009665,-1.416241
0.006192,-0.002617,-0.996197,-0.003936,-0.000341,0.002901,0.045957,0.301436,0.291809,0.003039,0.009663,-1.416197
0.006278,-0.002329,-0.996201,-0.001028,0.003047,-0.003686,0.045530,0.301201,0.292216,0.003020,0.009677,-1.416233
0.005303,-0.002675,-0.994606,0.000916,0.001801,-0.003181,0.045522,0.301380,0.293371,0.003025,0.009670,-1.416254
0.004419,-0.002915,-0.995440,0.001880,-0.001440,-0.000653,0.045981,0.301780,0.293581,0.003000,0.009629,-1.416260
0.004764,-0.001837,-0.996559,-0.001174,0.005691,-0.000954,0.045771,0.301867,0.293806,0.002974,0.009674,-1.416291
0.006340,-0.001838,-0.996672,-0.000757,-0.000725,0.004378,0.045145,0.302160,0.294315,0.002977,0.009658,-1.416261
0.006130,-0.002299,-0.995995,0.000493,-0.000134,0.001615,0.045387,0.301936,0.293539,0.002962,0.009648,-1.416264
0.006645,-0.002742,-0.995704,0.001781,-0.002370,0.001342,0.045619,0.301388,0.292378,0.002977,0.009600,-1.416223
0.006499,-0.003254,-0.996041,-0.000356,0.002201,0.001626,0.045331,0.301536,0.292130,0.002983,0.009649,-1.416215
0.006142,-0.004079,-0.996861,0.001755,0.000526,0.001038,0.045359,0.301652,0.293482,0.003022,0.009624,-1.416209
0.005142,-0.002558,-0.996010,0.003469,0.001707,0.000821,0.045724,0.302098,0.293255,0.003043,0.009639,-1.416209
0.004651,-0.001870,-0.995576,0.001719,0.005698,0.000633,0.045724,0.301943,0.291528,0.003063,0.009685,-1.416222
0.005897,-0.001784,-0.995113,-0.002145,0.008235,0.001202,0.045385,0.301674,0.293148,0.003032,0.009746,-1.416197
0.006328,-0.001716,-0.995210,0.000882,0.007949,-0.002685,0.045089,0.301493,0.293155,0.003050,0.009808,-1.416222
0.004963,-0.002667,-0.995777,-0.001168,0.001951,0.000207,0.045369,0.301643,0.293705,0.003044,0.009801,-1.416217
0.005963,-0.002656,-0.996978,0.001707,0.003482,-0.001191,0.045185,0.301825,0.292930,0.003057,0.009834,-1.416247
0.006074,-0.002997,-0.997173,0.002394,0.007279,0.003094,0.045394,0.302026,0.292488,0.003093,0.009886,-1.416209
0.006188,-0.003005,-0.996128,0.000807,0.005016,0.005329,0.045607,0.302057,0.293503,0.003098,0.009920,-1.416174
0.005253,-0.002917,-0.995085,-0.001566,0.010786,-0.000785,0.045447,0.301937,0.293741,0.003096,0.010025,-1.416161
0.004738,-0.003542,-0.993576,-0.003014,0.006385,-0.000704,0.045177,0.301534,0.292966,0.003061,0.010068,-1.416188
0.005236,-0.003446,-0.997287,-0.001536,0.000655,-0.001717,0.045059,0.301649,0.292677,0.003062,0.010072,-1.416196
0.006067,-0.003203,-0.998110,-0.000257,-0.000784,-0.004823,0.045115,0.301950,0.293693,0.003067,0.010058,-1.416267
0.005781,-0.002247,-0.996145,0.001596,-0.002838,-0.001147,0.044954,0.301873,0.293217,0.003077,0.009992,-1.416292
